,gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.4016969999999999,0.8716010000000001,-0.280969,0.269888,-0.0270569999999999,0.08294
1,0.389648,0.886267,-0.250392,0.087112,-0.129858,-0.168264
2,0.383237,0.896144,-0.223712,-0.04205,0.0441029999999999,-0.177823
3,0.381076,0.901808,-0.203751,-0.235202,0.066652,-0.382033
4,0.379826,0.902928,-0.2011099999999999,-0.275196,-0.142353,-0.110917
5,0.379959,0.901363,-0.207769,-0.249298,-0.121577,0.037557
6,0.378792,0.901149,-0.210802,-0.243782,-0.155834,-0.191664
7,0.376591,0.90459,-0.199714,-0.145589,-0.09473,0.072745
8,0.369714,0.910401,-0.185665,-0.015222,0.325454,0.157451
9,0.359935,0.915394,-0.180251,0.4170569999999999,0.301281,0.114379
10,0.364169,0.916806,-0.163825,0.395978,0.261997,-0.251107
11,0.370314,0.917488,-0.14517,0.06627,0.1394119999999999,0.153044
12,0.369766,0.919311,-0.134655,-0.028381,0.05922,0.513332
13,0.36526,0.922888,-0.121876,-0.07281,0.363764,0.072056
14,0.349352,0.928572,-0.125293,0.239759,0.648165,-0.086392
15,0.329961,0.933859,-0.137927,0.285624,0.614801,-0.0946169999999999
16,0.3257739999999999,0.934736,-0.141881,-0.178115,0.029497,0.365133
17,0.323558,0.93585,-0.139594,-0.251689,0.011553,0.340796
18,0.31823,0.938915,-0.130992,-0.2535179999999999,0.180729,0.250438
19,0.313397,0.941451,-0.124271,-0.03236,0.058808,0.212421
20,0.30934,0.943319,-0.1202029999999999,0.058565,-0.046301,0.1333099999999999
21,0.304926,0.945248,-0.116263,0.080221,-0.083599,0.136755
22,0.3003889999999999,0.947429,-0.1101589999999999,0.074443,-0.150081,-0.0886179999999999
23,0.294887,0.949461,-0.107498,-0.158656,-0.2121719999999999,-0.31279
24,0.291575,0.950564,-0.106788,-0.162974,-0.222384,-0.281701
25,0.28904,0.951329,-0.106863,-0.153679,-0.3136489999999999,0.024831
26,0.283892,0.952997,-0.105789,-0.1036859999999999,-0.148112,0.096542
27,0.275069,0.95556,-0.105983,-0.094863,-0.150674,0.096736
28,0.256947,0.960278,-0.108787,0.151638,-0.08334,0.074744
29,0.238894,0.964318,-0.114063,0.158887,-0.007989,0.066074
30,0.230425,0.965636,-0.12017,0.167356,-0.009307,0.072181
31,0.2317969999999999,0.964611,-0.125642,0.263809,-0.019879,-0.000884
32,0.237613,0.961559,-0.1376079999999999,0.2755559999999999,-0.136821,0.024479
33,0.246288,0.956484,-0.156438,0.285725,-0.018556,0.045033
34,0.258155,0.948951,-0.181219,0.333322,0.270943,0.029531
35,0.275339,0.936928,-0.215285,0.285986,0.536659,-0.1122599999999999
36,0.297226,0.919757,-0.256315,0.13153,0.504239,-0.162615
37,0.321454,0.9002819999999999,-0.293519,-0.183423,0.632494,-0.142562
38,0.342645,0.8831379999999999,-0.320399,-0.224603,0.616786,0.1090339999999999
39,0.360739,0.869477,-0.337448,-0.2237449999999999,0.434097,0.169906
40,0.3776739999999999,0.858975,-0.3457139999999999,-0.2244449999999999,0.236392,0.178203
41,0.392259,0.85224,-0.346141,-0.1226059999999999,0.244028,0.093547
42,0.40345,0.847095,-0.34591,-0.208763,0.187573,0.112877
43,0.412341,0.843311,-0.344668,-0.22243,0.066846,0.248522
44,0.417678,0.840651,-0.34474,-0.252654,-0.099974,0.291197
45,0.418177,0.839823,-0.346149,-0.321818,-0.111704,0.268619
46,0.4122989999999999,0.842499,-0.346696,-0.41796,-0.305924,0.192155
47,0.400338,0.8489959999999999,-0.344862,-0.437874,-0.396847,0.163114
48,0.385851,0.858291,-0.338305,-0.386339,-0.442214,0.158999
49,0.365813,0.8708809999999999,-0.328238,-0.274382,-0.390016,0.113089
50,0.343314,0.885388,-0.313395,-0.272422,-0.458463,0.1277569999999999
51,0.318211,0.901744,-0.292562,-0.048527,-0.337123,-0.027826
52,0.292718,0.916221,-0.2735829999999999,0.27468,-0.121681,0.029061
53,0.267469,0.928411,-0.257887,0.413576,-0.019368,0.030211
54,0.2469039999999999,0.93775,-0.244247,0.23828,0.084208,-0.120301
55,0.2346239999999999,0.944458,-0.230091,-0.040608,0.022537,-0.155529
56,0.2282809999999999,0.950511,-0.210733,-0.132776,-0.11233,-0.195791
57,0.227563,0.954656,-0.191934,-0.187478,-0.1592,-0.142478
58,0.232152,0.955836,-0.1802089999999999,-0.492421,-0.033106,-0.055723
59,0.2333469999999999,0.956483,-0.175163,-0.57696,0.219848,-0.527382
60,0.222776,0.959558,-0.1720799999999999,-0.152692,0.110052,-0.2177059999999999
61,0.21658,0.961942,-0.166593,0.6458619999999999,0.0312529999999999,0.8391850000000001
62,0.2279389999999999,0.959414,-0.166019,0.4934199999999999,0.641813,0.023425
63,0.253585,0.951992,-0.17146,0.451356,0.863224,-0.59032
64,0.269179,0.946039,-0.180404,0.215486,0.280569,0.155059
65,0.278009,0.940499,-0.195359,-0.164301,0.085837,0.3451849999999999
66,0.284093,0.935856,-0.208468,-0.4399,-0.086857,0.542529
67,0.2846079999999999,0.934525,-0.213669,-0.498704,-0.077317,0.529755
68,0.280494,0.937584,-0.205555,0.089715,0.383094,0.014713
69,0.271784,0.942221,-0.195823,0.098424,0.378458,0.004981
70,0.2642489999999999,0.94606,-0.187447,0.229617,0.220002,-0.037925
71,0.259979,0.947794,-0.184638,-0.144317,-0.0077,-0.126794
72,0.255425,0.949086,-0.184357,-0.139763,-0.008992,-0.127075
73,0.248083,0.951007,-0.184481,-0.203268,-0.010654,-0.143537
74,0.2378159999999999,0.953478,-0.185246,0.07209,-0.046679,-0.146495
75,0.228973,0.954949,-0.188777,0.2086329999999999,-0.078729,-0.177114
76,0.224656,0.953427,-0.201247,0.390304,-0.18031,-0.185853
77,0.2294179999999999,0.946537,-0.2267809999999999,0.201948,-0.183323,-0.199825
78,0.246044,0.932703,-0.263671,0.047993,-0.16279,-0.200196
79,0.270291,0.911867,-0.308927,-0.13548,0.083036,0.049116
80,0.297236,0.8851629999999999,-0.357956,-0.104273,0.315475,0.363434
81,0.319834,0.858031,-0.401851,-0.04397,0.308213,0.574412
82,0.332504,0.835089,-0.43825,0.063721,0.081827,0.5774859999999999
83,0.3370579999999999,0.816426,-0.468867,-0.300727,0.246348,0.3186739999999999
84,0.3443219999999999,0.801994,-0.4881029999999999,-0.357765,0.407677,0.302938
85,0.353057,0.793155,-0.496237,-0.248153,0.4085809999999999,0.289908
86,0.366552,0.790686,-0.490359,-0.204091,0.2081239999999999,0.185046
87,0.379056,0.796579,-0.470929,-0.202344,0.075614,0.167447
88,0.387612,0.80958,-0.440831,-0.250191,-0.279109,0.093083
89,0.390005,0.8275600000000001,-0.403776,-0.205542,-0.379501,0.0578889999999999
90,0.381309,0.8498020000000001,-0.363915,-0.091178,-0.427195,0.003166
