,gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.289113,0.8918809999999999,-0.34778,-0.057073,-1.331548,1.043565
1,0.319805,0.902944,-0.28706,-2.084728,0.1630349999999999,0.260617
2,0.293705,0.913644,-0.281029,-0.162953,3.027304,1.568902
3,0.27218,0.940931,-0.201377,0.443488,2.854327,0.999442
4,0.207271,0.968382,-0.138777,0.902134,0.824633,0.6852699999999999
5,0.16105,0.985411,-0.054863,0.429267,2.008241,-0.810188
6,0.09757,0.995048,0.01844,0.872706,1.6610189999999998,-0.400596
7,0.045862,0.989334,0.138178,0.114645,1.326538,-0.490427
8,-0.003572,0.972504,0.232809,-0.119993,0.491821,-0.992177
9,-0.049566,0.953009,0.298818,-0.553172,-0.13677,-1.31809
10,-0.093838,0.938993,0.330848,1.064755,-1.0207190000000002,0.017251
11,-0.111301,0.933302,0.34137,1.584186,-1.244948,-0.141251
12,-0.100703,0.929023,0.356018,1.236841,-1.173881,-0.911072
13,-0.072862,0.931692,0.35583,-0.16902,-0.493689,-1.448283
14,-0.045995,0.948235,0.31418,-0.412181,-0.476312,-0.451387
15,-0.030798,0.964886,0.260812,-0.224527,-0.408611,-0.155191
16,-0.01117,0.982147,0.187724,-0.2656699999999999,-0.3050989999999999,-0.347972
17,0.001164,0.9952,0.097751,-0.023961,0.850656,0.7322350000000001
18,-0.018193,0.99975,-0.012279,0.084157,1.87879,-0.520497
19,-0.066077,0.9877,-0.141657,-0.352319,3.021943,0.528177
20,-0.134328,0.952317,-0.273925,-3.809901,3.256683,0.035613
21,-0.123268,0.903793,-0.4098189999999999,0.208366,1.895264,-1.044649
22,-0.057747,0.8604950000000001,-0.506166,1.7192619999999998,1.306726,-0.7674850000000001
23,-0.019884,0.821435,-0.569948,1.271455,0.671363,0.134356
24,-0.032714,0.777947,-0.627473,0.555083,-0.239052,1.379426
25,-0.056498,0.728852,-0.6823319999999999,-0.788061,-1.723557,1.7264
26,-0.065107,0.6903239999999999,-0.720561,-1.328585,-2.542436,2.174877
27,-0.070697,0.690895,-0.719486,-0.998975,-2.121819,2.572773
28,-0.06182,0.740589,-0.669103,-0.303735,-1.562779,1.877813
29,-0.039533,0.81092,-0.583813,0.384473,-1.01728,0.455456
30,-0.0325279999999999,0.864401,-0.50174,0.462963,-0.519095,-0.651504
31,-0.024648,0.8879870000000001,-0.459196,0.908147,0.492491,-0.434252
32,0.026082,0.8817010000000001,-0.471076,0.67628,-0.170184,-0.177544
33,0.081975,0.875403,-0.476381,0.3265639999999999,-1.263251,1.309542
34,0.129104,0.8926350000000001,-0.431884,-2.742248,0.192402,0.490768
35,0.103683,0.901118,-0.42098,-1.108474,1.768468,-1.670207
36,0.117541,0.923444,-0.36527,-0.383562,1.7921779999999998,-0.145548
37,0.065289,0.958487,-0.277534,0.390719,0.682962,1.09159
38,0.012968,0.984995,-0.172047,0.14078,1.367193,0.101094
39,-0.0685669999999999,0.99368,-0.088778,0.255258,2.0533330000000003,-0.315366
40,-0.1282559999999999,0.990835,0.0421459999999999,-0.4761899999999999,1.820551,-0.604921
41,-0.163725,0.971933,0.168872,-0.336825,1.16146,-1.020999
42,-0.196424,0.944523,0.263188,-0.8954340000000001,-0.13065,-1.431065
43,-0.237492,0.918638,0.315712,0.338505,-0.624434,-0.526375
44,-0.269977,0.8996360000000001,0.343132,1.454746,-0.997185,-0.4951859999999999
45,-0.267218,0.8954219999999999,0.35607,1.762686,-0.917593,-0.668661
