,gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,-0.381922,0.874484,-0.299017,-0.0364899999999999,0.025617,0.172933
1,-0.386268,0.868384,-0.310971,0.095435,0.007928,0.166622
2,-0.382943,0.8622,-0.331606,0.0810179999999999,-0.1766829999999999,0.111605
3,-0.379607,0.856993,-0.348509,-0.192628,-0.183318,0.06909
4,-0.387094,0.8550200000000001,-0.345104,-0.166663,-0.22471,0.2219199999999999
5,-0.391691,0.856368,-0.336466,0.060545,-0.270065,0.198053
6,-0.390719,0.8579600000000001,-0.333528,0.114061,-0.244679,0.1266789999999999
7,-0.386834,0.8621340000000001,-0.327234,0.02958,-0.041058,0.073785
8,-0.384396,0.8684459999999999,-0.313112,-0.149052,-0.1176059999999999,0.14287
9,-0.383722,0.8749020000000001,-0.295467,-0.149725,-0.124063,0.125225
10,-0.383119,0.879331,-0.282832,-0.002623,0.084551,-0.030874
11,-0.38226,0.88292,-0.272628,-0.0452459999999999,0.092254,-0.032685
12,-0.3871679999999999,0.882122,-0.26825,-0.195825,0.128406,-0.07962
13,-0.394038,0.878009,-0.2717179999999999,-0.294118,0.1544,-0.140849
14,-0.397108,0.874066,-0.279839,-0.225939,-0.017789,-0.25814
15,-0.395023,0.8726139999999999,-0.287224,-0.2280239999999999,-0.016337,-0.250755
16,-0.393418,0.872798,-0.288865,-0.0127409999999999,-0.225382,-0.129089
17,-0.385233,0.876676,-0.28815,0.2463469999999999,-0.27429,-0.033932
18,-0.3680719999999999,0.887391,-0.277591,0.229186,-0.285004,-0.044492
19,-0.339771,0.902149,-0.265854,-0.129803,0.129498,-0.055633
20,-0.307323,0.916273,-0.256891,-0.071126,0.262469,-0.234457
21,-0.279057,0.9263,-0.253162,-0.030254,0.316192,-0.214687
22,-0.261542,0.931996,-0.250949,-0.061121,0.149349,0.040622
23,-0.253715,0.933191,-0.254517,-0.139809,0.064123,0.0927279999999999
24,-0.249303,0.932096,-0.262756,-0.097544,-0.056349,0.175125
25,-0.2453739999999999,0.934312,-0.258552,0.076566,-0.21074,0.4253
26,-0.2394639999999999,0.941182,-0.23839,0.180198,-0.002355,0.378816
27,-0.232788,0.94865,-0.2141719999999999,0.18129,0.07343,0.266052
28,-0.227842,0.955315,-0.188299,0.241804,0.0187139999999999,0.138006
29,-0.222502,0.960679,-0.166089,0.09532,0.160705,0.169293
30,-0.216189,0.965723,-0.1436579999999999,0.003375,0.0663049999999999,0.178845
31,-0.206894,0.970543,-0.123441,-0.074494,-0.053535,0.107679
32,-0.199958,0.974459,-0.1021909999999999,-0.0129319999999999,0.091429,0.108813
